                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1918,                 3.9139,                 1.5749,                0.14437,                0.29394,                0.13256,                0.08932,                0.91804,                 4.2249,                 1.3976,                 0.0919,                 0.0009,                 0.0009
                      1,                 1.0834,                 2.6089,                 1.5035,                0.57879,                0.55505,                0.54638,                 0.3629,                 0.9685,                  2.541,                 1.4263,               0.082881,              0.0018812,              0.0018812
                      2,                0.98853,                 1.9141,                 1.4186,                0.81798,                0.44124,                0.63399,                0.41785,                0.99797,                  1.838,                 1.4435,               0.073843,              0.0028426,              0.0028426
                      3,                 0.9738,                 1.4433,                 1.4137,                0.65143,                0.65297,                0.68228,                0.44979,                 1.0101,                 1.6554,                  1.461,               0.064784,              0.0037842,              0.0037842
                      4,                0.91476,                   1.35,                 1.3361,                0.64047,                0.56078,                0.61651,                0.39205,                 1.0663,                 1.5439,                 1.4813,               0.055706,               0.004706,               0.004706
                      5,                0.81998,                  1.136,                 1.2541,                0.69016,                0.64184,                0.63477,                0.45453,                0.88175,                  1.454,                 1.3218,               0.046608,              0.0056079,              0.0056079
                      6,                0.82225,                 1.0041,                 1.2251,                0.75731,                0.72608,                0.86559,                0.62125,                0.89091,                  1.298,                 1.3094,                0.03749,              0.0064901,              0.0064901
                      7,                0.79758,                 1.1162,                 1.2336,                0.95307,                0.78475,                0.91633,                0.66534,                 1.0023,                 1.0937,                 1.4316,               0.028353,              0.0073525,              0.0073525
                      8,                0.80753,                 1.1251,                  1.208,                0.86271,                0.63231,                0.82925,                0.57377,                  1.052,                 1.7192,                 1.5285,               0.019195,              0.0081951,              0.0081951
                      9,                0.76732,                0.96684,                 1.1931,                0.57236,                0.58448,                0.53661,                0.32022,                 1.5742,                  3.609,                 2.0616,               0.010018,              0.0090179,              0.0090179
                     10,                0.86792,                0.99471,                 1.2347,                0.88516,                0.74816,                0.84686,                0.58242,                0.99303,                 1.8788,                 1.4207,                0.00901,                0.00901,                0.00901
                     11,                0.90464,                 1.0616,                  1.271,                0.62793,                0.55657,                0.55972,                0.33483,                 1.5271,                 2.7866,                 1.9286,                0.00901,                0.00901,                0.00901
                     12,                0.86095,                0.93656,                   1.25,                0.51077,                0.56341,                0.46355,                0.25193,                 1.4547,                 5.4423,                 1.9158,               0.008911,               0.008911,               0.008911
                     13,                0.84457,                0.86232,                 1.2131,                0.63657,                0.50202,                0.46389,                0.23346,                 1.6017,                 2.7871,                 2.2355,               0.008812,               0.008812,               0.008812
                     14,                0.87206,                0.91162,                 1.2351,                0.66268,                0.42164,                0.45263,                0.27068,                 1.6422,                  2.039,                 2.1893,               0.008713,               0.008713,               0.008713
                     15,                0.82093,                0.85243,                 1.2003,                0.68694,                0.18283,                0.26223,                0.14104,                 1.7532,                 2.6726,                 2.7222,               0.008614,               0.008614,               0.008614
                     16,                0.86195,                0.85213,                 1.2548,                0.64282,                0.45697,                0.35911,                0.16988,                 2.1271,                 2.4379,                  2.835,               0.008515,               0.008515,               0.008515
