                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5193,                 4.3783,                 1.6511,                0.95541,                      1,                  0.995,                0.72108,                0.97326,                 2.2545,                 1.3003,                    0.1,                      0,                      0
                      1,                  1.663,                 4.0054,                 1.8162,                0.93709,                      1,                  0.995,                0.72108,                 1.0124,                 2.2521,                 1.3186,               0.099099,              9.901e-05,              9.901e-05
                      2,                 1.9309,                 4.7929,                 2.0555,                0.93627,                      1,                  0.995,                0.72157,                 1.0507,                  2.246,                 1.3406,               0.098196,             0.00019604,             0.00019604
                      3,                 1.6135,                 4.1982,                  1.578,                      1,                0.82691,                  0.995,                0.73936,                 1.0749,                  2.204,                 1.3654,               0.097291,             0.00029109,             0.00029109
                      4,                  1.694,                  3.449,                 1.6799,                      1,                0.74169,                  0.995,                0.73936,                 1.0885,                 2.1176,                 1.4019,               0.096384,             0.00038416,             0.00038416
                      5,                 1.3542,                 2.8907,                 1.3427,                 0.9677,                    0.5,                0.82536,                0.62954,                 1.0731,                 2.1176,                 1.4041,               0.095475,             0.00047525,             0.00047525
                      6,                  1.262,                 2.6162,                  1.388,                0.96997,                    0.5,                0.67357,                0.50858,                 1.0436,                 2.0812,                 1.3855,               0.094564,             0.00056436,             0.00056436
                      7,                 1.3025,                 2.5859,                 1.4607,                0.97009,                    0.5,                0.68548,                0.51674,                 1.0252,                 2.0443,                  1.386,               0.093651,             0.00065149,             0.00065149
                      8,                 1.3691,                 2.7983,                 1.2991,                0.97467,                    0.5,                0.61265,                0.46679,                 1.0202,                 2.0051,                 1.3843,               0.092737,             0.00073664,             0.00073664
                      9,                 1.2622,                 2.2045,                 1.4144,                0.97576,                    0.5,                   0.62,                0.48804,                0.99576,                 1.8983,                 1.3399,                0.09182,             0.00081981,             0.00081981
                     10,                 1.5717,                 2.0874,                 1.4592,                 0.9761,                    0.5,                   0.72,                0.55835,                 1.0276,                 1.6747,                  1.288,               0.090901,               0.000901,               0.000901
                     11,                 1.1974,                 1.5671,                 1.3338,                0.97801,                    0.5,                0.63786,                0.51367,                0.92238,                 1.7892,                 1.1945,                0.08998,             0.00098021,             0.00098021
                     12,                 1.0405,                 1.4112,                 1.1964,                 0.7448,                0.73441,                0.76583,                0.60415,                0.89387,                 1.8343,                 1.2053,               0.089057,              0.0010574,              0.0010574
                     13,                 1.1465,                 1.2656,                 1.2208,                0.65544,                0.95791,                0.82833,                0.65415,                 0.8849,                 1.5737,                 1.1801,               0.088133,              0.0011327,              0.0011327
                     14,                  1.196,                  1.124,                  1.348,                0.74611,                0.73833,                0.82536,                0.65028,                0.85631,                 1.4138,                 1.1839,               0.087206,               0.001206,               0.001206
                     15,                 1.1085,                 1.1088,                 1.2339,                0.79433,                0.97165,                  0.945,                0.77558,                 0.8993,                 1.2719,                 1.2488,               0.086277,              0.0012772,              0.0012772
                     16,                 1.1202,                0.96689,                 1.2543,                0.63775,                      1,                0.84917,                0.68405,                 0.9103,                 1.0816,                 1.2886,               0.085347,              0.0013466,              0.0013466
                     17,                 1.0708,                 1.0559,                 1.1883,                0.63775,                      1,                0.84917,                0.68405,                 0.9103,                 1.0816,                 1.2886,               0.084414,              0.0014139,              0.0014139
                     18,                 1.4307,                 1.2303,                 1.4317,                      1,                0.99081,                  0.995,                0.81432,                0.90778,                0.89157,                 1.2755,               0.083479,              0.0014792,              0.0014792
                     19,                 1.0439,                0.82901,                 1.2835,                      1,                0.99081,                  0.995,                0.81432,                0.90778,                0.89157,                 1.2755,               0.082543,              0.0015426,              0.0015426
                     20,                 1.2048,                 1.1559,                 1.2818,                      1,                0.98845,                  0.995,                0.81433,                0.88515,                0.83176,                 1.2711,               0.081604,               0.001604,               0.001604
                     21,                0.98059,                0.82687,                 1.1925,                      1,                0.98845,                  0.995,                0.81433,                0.88515,                0.83176,                 1.2711,               0.080663,              0.0016634,              0.0016634
                     22,                0.93434,                0.75314,                 1.0891,                0.99945,                      1,                  0.995,                0.81433,                0.87307,                0.70383,                 1.2657,               0.079721,              0.0017208,              0.0017208
                     23,                  1.079,                0.90837,                 1.1729,                0.99945,                      1,                  0.995,                0.81433,                0.87307,                0.70383,                 1.2657,               0.078776,              0.0017763,              0.0017763
                     24,                 1.0942,                0.91143,                 1.2345,                0.99287,                      1,                  0.995,                0.81433,                 0.8576,                0.64028,                 1.2433,                0.07783,              0.0018298,              0.0018298
                     25,                0.93864,                0.77761,                 1.0595,                0.99287,                      1,                  0.995,                0.81433,                 0.8576,                0.64028,                 1.2433,               0.076881,              0.0018812,              0.0018812
                     26,                 1.0158,                0.92671,                 1.2229,                0.99089,                      1,                  0.995,                0.81437,                0.86248,                0.64934,                  1.242,               0.075931,              0.0019308,              0.0019308
                     27,                0.90849,                0.83623,                 1.0747,                0.99089,                      1,                  0.995,                0.81437,                0.86248,                0.64934,                  1.242,               0.074978,              0.0019783,              0.0019783
                     28,                 1.0096,                0.89823,                 1.1832,                0.98955,                      1,                  0.995,                 0.8144,                 0.8573,                0.56406,                 1.2287,               0.074024,              0.0020238,              0.0020238
                     29,                0.92369,                0.75636,                 1.0602,                0.98955,                      1,                  0.995,                 0.8144,                 0.8573,                0.56406,                 1.2287,               0.073067,              0.0020674,              0.0020674
                     30,                0.99089,                0.73058,                  1.201,                0.98974,                      1,                  0.995,                0.81442,                0.86304,                 0.5271,                 1.2235,               0.072109,               0.002109,               0.002109
                     31,                0.91315,                0.70129,                 1.1618,                0.98974,                      1,                  0.995,                0.81442,                0.86304,                 0.5271,                 1.2235,               0.071149,              0.0021486,              0.0021486
                     32,                 1.0025,                0.79413,                 1.1182,                0.98955,                      1,                  0.995,                0.81444,                0.88579,                0.50999,                 1.2263,               0.070186,              0.0021862,              0.0021862
                     33,                 1.0035,                0.74536,                 1.1714,                0.98955,                      1,                  0.995,                0.81444,                0.88579,                0.50999,                 1.2263,               0.069222,              0.0022219,              0.0022219
                     34,                0.87392,                0.69034,                  1.077,                0.98936,                      1,                  0.995,                0.78943,                0.88226,                0.49875,                 1.2099,               0.068256,              0.0022556,              0.0022556
                     35,                0.94385,                0.78458,                 1.1078,                0.98936,                      1,                  0.995,                0.78943,                0.88226,                0.49875,                 1.2099,               0.067287,              0.0022873,              0.0022873
                     36,                 1.2033,                0.74575,                 1.3643,                0.98956,                      1,                  0.995,                0.78944,                0.84965,                0.45401,                 1.1781,               0.066317,               0.002317,               0.002317
                     37,                0.90865,                0.68827,                 1.0887,                0.98956,                      1,                  0.995,                0.78944,                0.84965,                0.45401,                 1.1781,               0.065345,              0.0023447,              0.0023447
                     38,                 1.1391,                0.69682,                 1.2977,                0.98919,                      1,                  0.995,                0.81444,                0.85272,                0.41018,                 1.1714,                0.06437,              0.0023704,              0.0023704
                     39,                 0.8247,                0.70973,                 1.0627,                0.98919,                      1,                  0.995,                0.81444,                0.85272,                0.41018,                 1.1714,               0.063394,              0.0023942,              0.0023942
                     40,                0.92586,                0.64248,                 1.2082,                0.98964,                      1,                  0.995,                0.78319,                0.88616,                0.41712,                  1.161,               0.062416,               0.002416,               0.002416
                     41,                0.96587,                0.66682,                  1.153,                0.98964,                      1,                  0.995,                0.78319,                0.88616,                0.41712,                  1.161,               0.061436,              0.0024358,              0.0024358
                     42,                0.88803,                0.67135,                 1.0585,                0.98945,                      1,                  0.995,                0.78325,                0.90184,                0.40195,                 1.1682,               0.060454,              0.0024536,              0.0024536
                     43,                  1.217,                0.77987,                  1.379,                0.98945,                      1,                  0.995,                0.78325,                0.90184,                0.40195,                 1.1682,               0.059469,              0.0024695,              0.0024695
                     44,                0.87767,                0.61845,                 1.1059,                0.98923,                      1,                  0.995,                0.79591,                0.95113,                0.37215,                 1.1973,               0.058483,              0.0024834,              0.0024834
                     45,                0.94438,                0.57069,                 1.1082,                0.98923,                      1,                  0.995,                0.79591,                0.95113,                0.37215,                 1.1973,               0.057495,              0.0024953,              0.0024953
                     46,                 0.6195,                0.57855,                 0.9849,                0.99004,                      1,                  0.995,                0.80008,                 0.9097,                0.36501,                 1.1648,               0.056505,              0.0025052,              0.0025052
                     47,                0.86678,                0.59394,                 1.1004,                0.99004,                      1,                  0.995,                0.80008,                 0.9097,                0.36501,                 1.1648,               0.055513,              0.0025131,              0.0025131
                     48,                0.95932,                0.62093,                 1.1877,                0.99028,                      1,                  0.995,                0.78582,                0.89906,                0.36588,                 1.1738,               0.054519,               0.002519,               0.002519
                     49,                0.96689,                0.77178,                 1.1429,                0.99028,                      1,                  0.995,                0.78582,                0.89906,                0.36588,                 1.1738,               0.053523,               0.002523,               0.002523
                     50,                0.80522,                0.62049,                 1.0475,                  0.991,                      1,                  0.995,                0.78573,                0.82796,                 0.4112,                 1.1299,               0.052525,               0.002525,               0.002525
                     51,                0.90492,                0.66182,                 1.1725,                  0.991,                      1,                  0.995,                0.78573,                0.82796,                 0.4112,                 1.1299,               0.051525,               0.002525,               0.002525
                     52,                0.87966,                0.68299,                 1.1398,                  0.991,                      1,                  0.995,                0.78573,                0.82796,                 0.4112,                 1.1299,               0.050523,               0.002523,               0.002523
                     53,                0.74583,                0.55733,                 1.0404,                0.99064,                      1,                  0.995,                  0.765,                0.84505,                0.43686,                 1.1319,               0.049519,              0.0025191,              0.0025191
                     54,                0.76767,                0.55652,                  1.075,                0.99064,                      1,                  0.995,                  0.765,                0.84505,                0.43686,                 1.1319,               0.048513,              0.0025132,              0.0025132
                     55,                 1.1875,                0.92474,                 1.3676,                0.99064,                      1,                  0.995,                  0.765,                0.84505,                0.43686,                 1.1319,               0.047505,              0.0025053,              0.0025053
                     56,                0.83322,                0.61715,                  1.074,                0.98725,                      1,                  0.995,                0.77766,                0.80232,                0.37737,                 1.1203,               0.046495,              0.0024954,              0.0024954
                     57,                0.92513,                0.76079,                 1.1435,                0.98725,                      1,                  0.995,                0.77766,                0.80232,                0.37737,                 1.1203,               0.045483,              0.0024835,              0.0024835
                     58,                 1.0591,                0.79248,                 1.3108,                0.98725,                      1,                  0.995,                0.77766,                0.80232,                0.37737,                 1.1203,                0.04447,              0.0024696,              0.0024696
                     59,                0.83457,                0.68877,                 1.1169,                0.98753,                      1,                  0.995,                0.80878,                0.76057,                0.34385,                 1.0972,               0.043454,              0.0024538,              0.0024538
                     60,                0.87839,                0.69113,                 1.1184,                0.98753,                      1,                  0.995,                0.80878,                0.76057,                0.34385,                 1.0972,               0.042436,               0.002436,               0.002436
                     61,                 1.0786,                0.69952,                 1.3266,                0.98753,                      1,                  0.995,                0.80878,                0.76057,                0.34385,                 1.0972,               0.041416,              0.0024162,              0.0024162
                     62,                  0.901,                0.69796,                 1.1172,                0.98763,                      1,                  0.995,                0.78602,                0.75224,                0.33903,                 1.0833,               0.040394,              0.0023944,              0.0023944
                     63,                0.72208,                0.54188,                 1.0122,                0.98763,                      1,                  0.995,                0.78602,                0.75224,                0.33903,                 1.0833,               0.039371,              0.0023707,              0.0023707
                     64,                0.84733,                 0.5567,                  1.105,                0.98763,                      1,                  0.995,                0.78602,                0.75224,                0.33903,                 1.0833,               0.038345,               0.002345,               0.002345
                     65,                0.72714,                0.55747,                 1.0465,                 0.9876,                      1,                  0.995,                0.78605,                0.72843,                0.35671,                 1.0735,               0.037317,              0.0023172,              0.0023172
                     66,                0.72011,                0.45783,                0.91718,                 0.9876,                      1,                  0.995,                0.78605,                0.72843,                0.35671,                 1.0735,               0.036288,              0.0022876,              0.0022876
                     67,                0.94681,                0.80386,                 1.2509,                 0.9876,                      1,                  0.995,                0.78605,                0.72843,                0.35671,                 1.0735,               0.035256,              0.0022559,              0.0022559
                     68,                0.91683,                0.60955,                 1.1188,                0.98854,                      1,                  0.995,                0.83757,                0.71767,                0.33076,                 1.0647,               0.034222,              0.0022222,              0.0022222
                     69,                0.89828,                0.60477,                  1.149,                0.98854,                      1,                  0.995,                0.83757,                0.71767,                0.33076,                 1.0647,               0.033187,              0.0021866,              0.0021866
                     70,                0.90213,                0.62048,                  1.209,                0.98854,                      1,                  0.995,                0.83757,                0.71767,                0.33076,                 1.0647,               0.032149,               0.002149,               0.002149
                     71,                0.79236,                0.70183,                 1.1436,                0.98918,                      1,                  0.995,                0.84603,                 0.6909,                0.27309,                 1.0295,               0.031109,              0.0021094,              0.0021094
                     72,                0.72355,                0.56714,                0.98518,                0.98918,                      1,                  0.995,                0.84603,                 0.6909,                0.27309,                 1.0295,               0.030068,              0.0020678,              0.0020678
                     73,                0.73293,                0.65274,                 1.0575,                0.98918,                      1,                  0.995,                0.84603,                 0.6909,                0.27309,                 1.0295,               0.029024,              0.0020243,              0.0020243
                     74,                0.92733,                0.68136,                 1.0581,                0.98942,                      1,                  0.995,                0.83757,                0.70712,                0.29988,                 1.0281,               0.027979,              0.0019788,              0.0019788
                     75,                0.96518,                0.56874,                 1.1156,                0.98942,                      1,                  0.995,                0.83757,                0.70712,                0.29988,                 1.0281,               0.026931,              0.0019313,              0.0019313
                     76,                 0.6743,                0.47398,                0.96835,                0.98942,                      1,                  0.995,                0.83757,                0.70712,                0.29988,                 1.0281,               0.025882,              0.0018818,              0.0018818
                     77,                0.80966,                0.62368,                 1.0648,                0.98939,                      1,                  0.995,                0.81502,                0.71202,                0.30729,                  1.037,                0.02483,              0.0018303,              0.0018303
                     78,                0.88926,                0.57323,                  1.232,                0.98939,                      1,                  0.995,                0.81502,                0.71202,                0.30729,                  1.037,               0.023777,              0.0017768,              0.0017768
                     79,                0.74319,                0.52201,                 1.1015,                0.98939,                      1,                  0.995,                0.81502,                0.71202,                0.30729,                  1.037,               0.022721,              0.0017214,              0.0017214
                     80,                0.74774,                0.59106,                 1.0691,                0.98917,                      1,                  0.995,                 0.8027,                0.71533,                0.30522,                 1.0475,               0.021664,               0.001664,               0.001664
                     81,                0.85674,                0.59555,                 1.2717,                0.98917,                      1,                  0.995,                 0.8027,                0.71533,                0.30522,                 1.0475,               0.020605,              0.0016046,              0.0016046
                     82,                0.66923,                0.46508,                0.95394,                0.98917,                      1,                  0.995,                 0.8027,                0.71533,                0.30522,                 1.0475,               0.019543,              0.0015432,              0.0015432
                     83,                0.81287,                0.48673,                 1.0792,                0.98938,                      1,                  0.995,                0.80265,                0.67767,                0.27944,                 1.0276,                0.01848,              0.0014799,              0.0014799
                     84,                0.80685,                0.57921,                 1.0941,                0.98938,                      1,                  0.995,                0.80265,                0.67767,                0.27944,                 1.0276,               0.017415,              0.0014146,              0.0014146
                     85,                0.91349,                0.52764,                 1.2697,                0.98938,                      1,                  0.995,                0.80265,                0.67767,                0.27944,                 1.0276,               0.016347,              0.0013473,              0.0013473
                     86,                0.60518,                0.44171,                 1.0323,                0.98938,                      1,                  0.995,                0.80265,                0.67767,                0.27944,                 1.0276,               0.015278,               0.001278,               0.001278
                     87,                0.77974,                0.46033,                 1.0467,                 0.9893,                      1,                  0.995,                 0.8646,                0.64718,                0.26819,                 1.0072,               0.014207,              0.0012067,              0.0012067
                     88,                0.75825,                0.60633,                0.99879,                 0.9893,                      1,                  0.995,                 0.8646,                0.64718,                0.26819,                 1.0072,               0.013133,              0.0011334,              0.0011334
                     89,                0.77767,                0.52163,                 1.0813,                 0.9893,                      1,                  0.995,                 0.8646,                0.64718,                0.26819,                 1.0072,               0.012058,              0.0010582,              0.0010582
                     90,                0.58217,                0.37511,                0.93331,                 0.9893,                      1,                  0.995,                 0.8646,                0.64718,                0.26819,                 1.0072,               0.010981,               0.000981,               0.000981
